State Name,Grade Level,Grade Band,Course ,State Identifier,Standard,Category,~CSTA,CSTA Identifier,CSTA Standard,Other Info,Notes
PA,N/A,K-2,,3.5.K-2.A,Identify and use everyday symbols.,Technology & Engineering,based,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,,"STEELS has a crosswalk here that includes other CSTA standards as mapped, but I disagree with the alignment. "
PA,N/A,K-2,,3.5.K-2.B,Describe qualities of everyday products.,Technology & Engineering,different,1A-AP-10,"Develop programs with sequences and simple loops, to express ideas or address a problem.",,"This doesn't seem like it aligns unless we look at the clarifications, namely the following: 
Programming is used as a tool to create products that reflect a wide range of interests. Control structures specify the order in which instructions are executed within a program."
PA,N/A,K-2,,3.5.K-2.C,Explain ways that technology helps with everyday tasks.,Technology & Engineering,based,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.D,"Select ways to reduce, reuse, and recycle resources in daily life.",Technology & Engineering,different,,,,
PA,N/A,K-2,,3.5.K-2.E,Illustrate helpful and harmful effects of technology.,Technology & Engineering,similar,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,,
PA,N/A,K-2,,3.5.K-2.F,Investigate the use of technologies in the home and community. ,Technology & Engineering,based,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,,
PA,N/A,K-2,,3.5.K-2.F,Investigate the use of technologies in the home and community. ,Technology & Engineering,based,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.G,Explain the tools and techniques people use to help them do things.,Technology & Engineering,based,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,,
PA,N/A,K-2,,3.5.K-2.G,Explain the tools and techniques people use to help them do things.,Technology & Engineering,based,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.H,Explain the needs and wants of individuals and societies. ,Technology & Engineering,based,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.I,Compare simple technologies to evaluate their impacts. ,Technology & Engineering,similar,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,,
PA,N/A,K-2,,3.5.K-2.J,Design new technologies that could improve their daily lives. ,Technology & Engineering,different,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,,
PA,N/A,K-2,,3.5.K-2.K,Safely use tools to complete tasks.,Technology & Engineering,similar,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.L,Explore how technologies are developed to meet individual and societal needs and wants.,Technology & Engineering,based,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,,
PA,N/A,K-2,,3.5.K-2.M,Demonstrate essential skills of the engineering design process.,Technology & Engineering,different,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",,
PA,N/A,K-2,,3.5.K-2.N,Analyze how things work.,Technology & Engineering,similar,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,,
