"PhraseID","EN","ES-ES"
"SV_eth3UOE2NGf3mOa","",""
"QID11_QuestionText","&nbsp;&nbsp;","&nbsp;&nbsp;"
"QID9_QuestionText","<div style=""text-align: center;""><b>Consent Form</b></div>","<div style=""text-align: center;""><b>Formulario de consentimiento</b></div>"
"QID10_QuestionText","We are thrilled to invite you to participate in the Cambridge Early Childhood Pulse Survey 2.0, the second round of an ongoing research effort led by researchers at the Harvard Graduate School of Education. We recommend you take this survey on a computer rather than a smartphone or tablet.&nbsp;<br><br><b>What is the purpose of this research?</b><br>➘Early educators like you play a critical role in our community and broader society by supporting young children and their families. This is a research effort to understand the experiences of all educators working with young children in the City of Cambridge. Too often, research in early childhood focuses on a minority of voices in a minority of settings. Our goal is to hear from all early educators in Cambridge to understand the strengths and needs of the early education workforce so that we can help devise programs and policies that better support the important work early educators like you do!<br>➘<br>➘<b>What can I expect if I take part in this research?</b><br>➘• All early educators and <b>early education professionals (including in administrative or support roles)</b> in Cambridge working with children between birth and age five AND individuals working with children between birth and age five in <b>family support and home visiting roles</b> are eligible to participate in a one-time online survey.<br>• The survey will ask about you and your experiences working in early education. We anticipate that this survey will take approximately 30 minutes to complete.<br>➘• Your responses will be kept confidential and we will not link or publish your or your program’s name in this project.<br>➘• We may quote open-ended responses you provide, but your name or program will never be listed.<br>➘• You will receive a<b> $40.00 gift card for your time</b> via email in the weeks following your completion of the survey.<br>➘• It is possible that we may reach out to you in the future to participate in other related research activities. If we do, you will be provided additional information about those activities and again ask for your consent to participate.<br>➘<br>➘<b>What should I know about a research study? </b><br>➘• Whether or not you take part is up to you.<br>➘• Your participation is completely voluntary.<br>➘• You can choose not to take part.<br>➘• You can agree to take part and later change your mind.<br>➘• Your decision will not be held against you.<br>➘• Your refusal to participate will not result in any consequences or any loss of benefits that you are otherwise entitled to receive.<br>➘• You can ask all the questions you want before you decide.<br>➘<br>➘<b>Who can I talk to?</b><br>➘If you have questions, concerns, or complaints, or think the research has hurt you, contact Charlotte Petty at cpetty@gse.harvard.edu.","Nos complace invitarle a participar en la Early Childhood Pulse Survey 2.0 (Encuesta de pulso sobre la primera infancia) de Cambridge, la segunda ronda de un estudio en curso dirigido por investigadores de la Harvard Graduate School of Education (Escuela Superior de Educación de Harvard). Le recomendamos realizar esta encuesta desde una computadora y no desde un teléfono inteligente o una tableta.&nbsp;<br><br><b> ¿Cuál es el propósito de esta investigación?</b><br> ➘ Los educadores de la primera infancia como usted desempeñan un papel fundamental en nuestra comunidad y en la sociedad en general al proporcionar su ayuda a los niños pequeños y a sus familias. Se trata de un trabajo de investigación para comprender las experiencias de todos los educadores que trabajan con niños pequeños en la ciudad de Cambridge. La investigación sobre la primera infancia se centra frecuentemente en una minoría de voces en una minoría de entornos. Nuestro objetivo es conocer la opinión de todos los educadores de la primera infancia de Cambridge para comprender las fortalezas y las necesidades del personal de educación temprana, de modo que podamos contribuir a diseñar programas y políticas que favorezcan el gran trabajo que realizan los educadores como usted.<br>➘<br>➘<b> ¿Qué puedo esperar si participo en esta investigación? </b><br>➘• Todos los educadores y <b>los profesionales de la educación de la primera infancia (incluidos los que desempeñan funciones administrativas o de apoyo)</b> de Cambridge que trabajan con niños desde el nacimiento hasta los cinco años Y las personas que trabajan con niños desde el nacimiento hasta los cinco años en <b>funciones de apoyo familiar y visitas a domicilio</b> pueden participar en una única encuesta en línea.<br> • La encuesta incluye preguntas sobre usted y sus experiencias de trabajo en la educación de la primera infancia. Anticipamos que completar esta encuesta le llevará aproximadamente 30 minutos.<br> ➘• Sus respuestas serán confidenciales y no vincularemos ni publicaremos su nombre ni el de su programa en este proyecto.<br> ➘• Podremos citar las respuestas directas que nos proporcione, pero su nombre o programa nunca aparecerán.<br> ➘• Recibirá una<b> tarjeta regalo de $40.00 por su tiempo</b> a través de correo electrónico en las semanas posteriores a la finalización de la encuesta.<br> ➘• Es posible que nos pongamos en contacto con usted en el futuro para participar en otras actividades de investigación relacionadas. En caso de contactarnos, se le proporcionará información adicional sobre esas actividades y se le volverá a pedir su consentimiento para participar.<br> ➘<br> ➘<b> ¿Qué debo saber sobre un estudio de investigación? </b><br> ➘• Su participación depende de usted.<br> ➘• Su participación es totalmente voluntaria.<br> ➘• Puede decidir no participar.<br> ➘• Puede aceptar participar y cambiar de opinión más adelante.<br> ➘• La decisión final no se tomará en su contra.<br> ➘• Su negativa a participar no tendrá consecuencias ni supondrá la pérdida de beneficios que, de otro modo, tendría derecho a recibir.<br> ➘• Puede hacer todas las preguntas que quiera antes de decidirse.<br> ➘<br> ➘<b> ¿Con quién puedo hablar?</b><br> ➘ Si tiene preguntas, inquietudes o quejas, o considera que la investigación le ha perjudicado, póngase en contacto con Charlotte Petty en cpetty@gse.harvard.edu."
"QID12_QuestionText","My signature below documents that the information in the consent document and any other written information was accurately explained to, and apparently understood by me, and that consent was freely given by me.<br><br><i>(Please use cursor to sign on computer or use finger on smartphone/tablet).&nbsp;</i><br>","Mi firma a continuación documenta que la información contenida en el documento de consentimiento y cualquier otra información escrita se me explicó con precisión y aparentemente la comprendí, y que di mi consentimiento con libertad.<br><br><i> (Utilice el cursor para firmar desde la computadora o el dedo en caso de que utilice teléfono inteligente/tableta).&nbsp;</i><br>"
"QID13_QuestionText","Please type your name:","Escriba su nombre:"
"QID13_Choice1","First name","Nombre"
"QID13_Choice2","Last name","Apellido"
"QID16_QuestionText","Please provide your <b>email address</b> so we can send you a gift card for completing this survey:","Indíquenos su <b>dirección de correo electrónico</b> para que podamos enviarle una tarjeta regalo por completar esta encuesta:"
"QID20_QuestionText","This survey is in English. If you would prefer to take the survey in another language, or would like translation support, please indicate your preference below.<br><br>You can also contact the Cambridge Early Childhood Pulse Survey team via email at cpetty@gse.harvard.edu.<br><br>Would you like the take the survey in another language?<br>","La encuesta está en inglés. Si prefiere realizar la encuesta en otro idioma o desea recibir ayuda para su traducción, indique su preferencia a continuación.<br><br> También puede ponerse en contacto con el equipo de Early Childhood Pulse Survey de Cambridge a través del correo electrónico cpetty@gse.harvard.edu.<br><br> ¿Desea realizar la encuesta en otro idioma?<br>"
