"PhraseID","EN","PT-BR"
"SV_eth3UOE2NGf3mOa","",""
"QID11_QuestionText","&nbsp;&nbsp;","&nbsp;&nbsp;"
"QID9_QuestionText","<div style=""text-align: center;""><b>Consent Form</b></div>","<div style=""text-align: center;""><b>Formulário de consentimento</b></div>"
"QID10_QuestionText","We are thrilled to invite you to participate in the Cambridge Early Childhood Pulse Survey 2.0, the second round of an ongoing research effort led by researchers at the Harvard Graduate School of Education. We recommend you take this survey on a computer rather than a smartphone or tablet.&nbsp;<br><br><b>What is the purpose of this research?</b><br>➘Early educators like you play a critical role in our community and broader society by supporting young children and their families. This is a research effort to understand the experiences of all educators working with young children in the City of Cambridge. Too often, research in early childhood focuses on a minority of voices in a minority of settings. Our goal is to hear from all early educators in Cambridge to understand the strengths and needs of the early education workforce so that we can help devise programs and policies that better support the important work early educators like you do!<br>➘<br>➘<b>What can I expect if I take part in this research?</b><br>➘• All early educators and <b>early education professionals (including in administrative or support roles)</b> in Cambridge working with children between birth and age five AND individuals working with children between birth and age five in <b>family support and home visiting roles</b> are eligible to participate in a one-time online survey.<br>• The survey will ask about you and your experiences working in early education. We anticipate that this survey will take approximately 30 minutes to complete.<br>➘• Your responses will be kept confidential and we will not link or publish your or your program’s name in this project.<br>➘• We may quote open-ended responses you provide, but your name or program will never be listed.<br>➘• You will receive a<b> $40.00 gift card for your time</b> via email in the weeks following your completion of the survey.<br>➘• It is possible that we may reach out to you in the future to participate in other related research activities. If we do, you will be provided additional information about those activities and again ask for your consent to participate.<br>➘<br>➘<b>What should I know about a research study? </b><br>➘• Whether or not you take part is up to you.<br>➘• Your participation is completely voluntary.<br>➘• You can choose not to take part.<br>➘• You can agree to take part and later change your mind.<br>➘• Your decision will not be held against you.<br>➘• Your refusal to participate will not result in any consequences or any loss of benefits that you are otherwise entitled to receive.<br>➘• You can ask all the questions you want before you decide.<br>➘<br>➘<b>Who can I talk to?</b><br>➘If you have questions, concerns, or complaints, or think the research has hurt you, contact Charlotte Petty at cpetty@gse.harvard.edu.","É com grande satisfação que o convidamos a participar da Cambridge Early Childhood Pulse Survey 2.0 (Pesquisa de Impacto na Primeira Infância 2.0,), a segunda rodada de uma pesquisa em andamento liderada por pesquisadores da Harvard Graduate School of Education (Escola de Pós-Graduação em Educação de Harvard). Recomendamos que você responda a esta pesquisa em um computador e não em um smartphone ou tablet.&nbsp;<br><br><b>Qual é o objetivo desta pesquisa?</b><br>➘Educadores infantis como você desempenham um papel fundamental em nossa comunidade e na sociedade em geral, apoiando crianças pequenas e suas famílias. Este é um esforço de pesquisa para compreender as experiências de todos os educadores que trabalham com crianças pequenas na cidade de Cambridge. Com muita frequência, a pesquisa sobre a primeira infância concentra-se em uma minoria de vozes em uma minoria de ambientes. Nosso objetivo é ouvir todos os educadores infantis em Cambridge para entender os pontos fortes e as necessidades da força de trabalho da educação infantil, para que possamos ajudar a elaborar programas e políticas que apoiem melhor o importante trabalho que educadores da primeira infância como você fazem!<br>➘<br>➘<b>O que posso esperar se participar desta pesquisa?</b><br>➘- Todos os educadores e <b>profissionais da educação infantil (inclusive em funções administrativas ou de apoio)</b> em Cambridge que trabalham com crianças entre o nascimento e os cinco anos de idade E indivíduos que trabalham com crianças entre o nascimento e os cinco anos de idade em <b>funções de apoio à família e visitas domiciliares</b> estão qualificados para participar de uma pesquisa on-line única.<br>- A pesquisa fará perguntas sobre você e suas experiências de trabalho na educação infantil. Calculamos que esta pesquisa levará cerca de 30 minutos para ser concluída.<br>➘- Suas respostas serão mantidas em sigilo e não vincularemos ou publicaremos o seu nome ou o nome do seu programa neste projeto.<br>➘- Poderemos citar as respostas abertas que você fornecer, mas o seu nome ou programa nunca serão listados.<br>Você receberá um cartão-presente<b> de US$ 40,00 pelo seu tempo</b> por e-mail nas semanas seguintes à conclusão da pesquisa.<br>➘- É possível que entremos em contato com você no futuro para participar de outras atividades de pesquisa relacionadas. Se o fizermos, você receberá informações adicionais sobre essas atividades e solicitaremos novamente seu consentimento para participar.<br>➘<br>➘<b>O que devo saber sobre um estudo de pesquisa? </b><br>A participação ou não depende de você.<br>➘- Sua participação é totalmente voluntária.<br>➘- Você pode optar por não participar.<br>➘- Você pode concordar em participar e depois mudar de ideia.<br>➘- Sua decisão não será considerada contra você.<br>Sua recusa em participar não resultará em nenhuma consequência ou perda de benefícios que, de outra forma, você teria direito a receber.<br>➘- Você pode fazer todas as perguntas que quiser antes de decidir.<br>➘<br>➘<b>Com quem posso falar?</b><br>➘Se você tiver dúvidas, preocupações ou reclamações, ou se achar que a pesquisa o prejudicou, entre em contato com Charlotte Petty em cpetty@gse.harvard.edu."
"QID12_QuestionText","My signature below documents that the information in the consent document and any other written information was accurately explained to, and apparently understood by me, and that consent was freely given by me.<br><br><i>(Please use cursor to sign on computer or use finger on smartphone/tablet).&nbsp;</i><br>","Minha assinatura abaixo documenta que as informações no documento de consentimento e quaisquer outras informações escritas foram explicadas com precisão e aparentemente compreendidas por mim, e que o consentimento foi dado livremente por mim.<br><br><i>(Use o cursor para assinar no computador ou use o dedo no smartphone/tablet).&nbsp;</i><br>"
"QID13_QuestionText","Please type your name:","Por favor, digite seu nome:"
"QID13_Choice1","First name","Nome"
"QID13_Choice2","Last name","Sobrenome"
"QID16_QuestionText","Please provide your <b>email address</b> so we can send you a gift card for completing this survey:","Por favor, forneça seu endereço de e-mail <b></b> para que possamos lhe enviar um cartão-presente por responder a esta pesquisa:"
"QID20_QuestionText","This survey is in English. If you would prefer to take the survey in another language, or would like translation support, please indicate your preference below.<br><br>You can also contact the Cambridge Early Childhood Pulse Survey team via email at cpetty@gse.harvard.edu.<br><br>Would you like the take the survey in another language?<br>","Esta pesquisa está em inglês. Se preferir responder à pesquisa em outro idioma ou se quiser apoio para tradução, por favor indique sua preferência abaixo.<br><br>Você também pode entrar em contato com a equipe da Cambridge Early Childhood Pulse Survey pelo e-mail cpetty@gse.harvard.edu.<br><br>Gostaria de responder à pesquisa em outro idioma?<br>"
