PhraseID,EN,PT-BR
SV_eth3UOE2NGf3mOa,,
QID11_QuestionText,"&nbsp;&nbsp;",""
QID9_QuestionText,"<div style=""text-align: center;""><b>Consent Form</b></div>",""
QID10_QuestionText,"We are thrilled to invite you to participate in the Cambridge Early Childhood Pulse Survey 2.0, the second round of an ongoing research effort led by researchers at the Harvard Graduate School of Education. We recommend you take this survey on a computer rather than a smartphone or tablet.&nbsp;<br><br><b>What is the purpose of this research?</b><br>➘Early educators like you play a critical role in our community and broader society by supporting young children and their families. This is a research effort to understand the experiences of all educators working with young children in the City of Cambridge. Too often, research in early childhood focuses on a minority of voices in a minority of settings. Our goal is to hear from all early educators in Cambridge to understand the strengths and needs of the early education workforce so that we can help devise programs and policies that better support the important work early educators like you do!<br>➘<br>➘<b>What can I expect if I take part in this research?</b><br>➘• All early educators and <b>early education professionals (including in administrative or support roles)</b> in Cambridge working with children between birth and age five AND individuals working with children between birth and age five in <b>family support and home visiting roles</b> are eligible to participate in a one-time online survey.<br>• The survey will ask about you and your experiences working in early education. We anticipate that this survey will take approximately 30 minutes to complete.<br>➘• Your responses will be kept confidential and we will not link or publish your or your program’s name in this project.<br>➘• We may quote open-ended responses you provide, but your name or program will never be listed.<br>➘• You will receive a<b> $40.00 gift card for your time</b> via email in the weeks following your completion of the survey.<br>➘• It is possible that we may reach out to you in the future to participate in other related research activities. If we do, you will be provided additional information about those activities and again ask for your consent to participate.<br>➘<br>➘<b>What should I know about a research study? </b><br>➘• Whether or not you take part is up to you.<br>➘• Your participation is completely voluntary.<br>➘• You can choose not to take part.<br>➘• You can agree to take part and later change your mind.<br>➘• Your decision will not be held against you.<br>➘• Your refusal to participate will not result in any consequences or any loss of benefits that you are otherwise entitled to receive.<br>➘• You can ask all the questions you want before you decide.<br>➘<br>➘<b>Who can I talk to?</b><br>➘If you have questions, concerns, or complaints, or think the research has hurt you, contact Charlotte Petty at cpetty@gse.harvard.edu.",""
QID12_QuestionText,"My signature below documents that the information in the consent document and any other written information was accurately explained to, and apparently understood by me, and that consent was freely given by me.<br><br><i>(Please use cursor to sign on computer or use finger on smartphone/tablet).&nbsp;</i><br>",""
QID13_QuestionText,"Please type your name:",""
QID13_Choice1,"First name",""
QID13_Choice2,"Last name",""
QID16_QuestionText,"Please provide your <b>email address</b> so we can send you a gift card for completing this survey:",""
QID20_QuestionText,"This survey is in English. If you would prefer to take the survey in another language, or would like translation support, please indicate your preference below.<br><br>You can also contact the Cambridge Early Childhood Pulse Survey team via email at cpetty@gse.harvard.edu.<br><br>Would you like the take the survey in another language?<br>",""
QID20_Choice4,"Yes: I'd like to take this survey in another language",""
QID20_Choice5,"No: I'll continue to take the survey in English",""
QID240_QuestionText,"What language would you prefer to take this survey in?",""
QID240_Choice1,"Albanian",""
QID240_Choice2,"Amharic",""
QID240_Choice3,"Arabic",""
QID240_Choice4,"Bangla",""
QID240_Choice5,"Chinese (simplified)",""
QID240_Choice6,"Chinese (traditional)",""
QID240_Choice7,"Farsi",""
QID240_Choice13,"Gujarati",""
QID240_Choice14,"Haitian Creole",""
QID240_Choice15,"Hindi",""
QID240_Choice16,"Japanese",""
QID240_Choice17,"Korean",""
QID240_Choice18,"Nepali",""
QID240_Choice19,"Pashto",""
QID240_Choice20,"Portuguese (Brazil)",""
QID240_Choice21,"Portuguese (Portugal)",""
QID240_Choice8,"Russian",""
QID240_Choice9,"Somali",""
QID240_Choice10,"Spanish",""
QID240_Choice11,"Tigrinya",""
QID240_Choice12,"Turkish",""
QID240_Choice22,"Vietnamese",""
QID240_Choice23,"Ukranian",""
QID240_Choice24,"Other, please type your preferred language here:",""
QID14_QuestionText,"<b>Program and Role</b><br>In this section, we will ask you about your current job working with young children in Cambridge.<br>",""
QID15_QuestionText,"Are you currently employed as an early educator (including as a&nbsp;teacher of any level, paraprofessional,&nbsp;Family Child Care Provider, coach/mentor, or as an administrator at an early education program) for children five years old or younger in Cambridge, Massachusetts?<br><i>Please note, if you work with children 5 and under as a <b>home visitor or in a family support role</b>, please select ""<b>no</b>"" – you will then be directed to a set of questions about your role.</i><br>",""
QID15_Choice1,"Yes",""
QID15_Choice2,"No",""
QID147_QuestionText,"Are you currently employed in a home visiting or family support role (e.g. as a home visitor, early intervention provider, playgroup leader, literacy ambassador, case manager, family advocate, early learning specialist, etc.) for children five years old or younger in Cambridge, Massachusetts?",""
QID147_Choice1,"Yes",""
QID147_Choice2,"No",""
QID148_QuestionText,"What is your current role in your work with children under age 5 in Cambridge, MA?",""
QID148_Choice4,"Home visitor",""
QID148_Choice5,"Early Intervention provider",""
QID148_Choice6,"Playgroup leader",""
QID148_Choice7,"Literacy Ambassador",""
QID148_Choice8,"Case Manager",""
QID148_Choice9,"Family Advocate",""
QID148_Choice10,"Early Learning Specialist",""
QID148_Choice11,"Other, please explain:",""
QID220_QuestionText,"How long is a typical home visit?<br><br>",""
QID220_Choice1,"15 minutes",""
QID220_Choice2,"30 minutes",""
